------------------------------------------------------------------
  Running MRIQC version 24.1.0.dev15+g9586c867.d20240825
  ----------------------------------------------------------------

  NOTICE
  Copyright © The NiPreps Developers.
  
  This product includes software developed by
  the NiPreps Community (https://nipreps.org/).
  
  Portions of this software were developed at the Department of
  Psychology at Stanford University, Stanford, CA, US.
  
  This software contains code ultimately derived from the
  PCP Quality Assessment Protocol (QAP;
  http://preprocessed-connectomes-project.org/quality-assessment-protocol)
  by C. Craddock, S. Giavasis, D. Clark, Z. Shezhad, and J. Pellman.
  
  This software is also distributed as a Docker container image.
  The bootstrapping file for the image ("Dockerfile") is licensed
  under the MIT License.

  ----------------------------------------------------------------

  * BIDS dataset path: /data/datasets/bootcamp/bids.
  * Output folder: /data/derivatives/bootcamp-geneva/mriqc-24.0.2.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-08-27 14:34:57 | IMPORTANT | mriqc            | Extracting metadata and entities for 10 input runs of modality 't1w'...
2024-08-27 14:34:58 | IMPORTANT | mriqc            | File size ('t1w'): 0.03|0.02 GB [maximum|average].
2024-08-27 14:34:58 | IMPORTANT | mriqc            | Extracting metadata and entities for 5 input runs of modality 't2w'...
2024-08-27 14:34:58 | IMPORTANT | mriqc            | File size ('t2w'): 0.02|0.01 GB [maximum|average].
2024-08-27 14:34:58 | IMPORTANT | mriqc            | Extracting metadata and entities for 10 input runs of modality 'bold'...
2024-08-27 14:34:58 | IMPORTANT | mriqc            | File size ('bold'): 0.73|0.63 GB [maximum|average].
2024-08-27 14:34:58 | INFO     | mriqc            | MRIQC config file: /home/oesteban/tmp/mriqc-bootcamp/work/config-20240827-143451_9408c1e0-cfaa-4455-9130-578bf348bbac.toml.
2024-08-27 14:35:03 | IMPORTANT | mriqc            | Building MRIQC's workflows...
2024-08-27 14:35:04 | INFO     | nipype.workflow  | Building functional MRIQC workflow for 10 BOLD runs..
2024-08-27 14:35:04 | INFO     | nipype.workflow  | Building anatomical MRIQC workflow for 15 NIfTI files..
2024-08-27 14:35:09 | IMPORTANT | mriqc            | Workflow building finished (exit code 0).
2024-08-27 14:35:13 | INFO     | nipype.workflow  | Workflow mriqc_wf settings: ['check', 'execution', 'logging', 'monitoring']
2024-08-27 14:35:21 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc-bootcamp/work/mriqc_wf/anatMRIQC/anat_report_wf/5b174b6e40e2d8672c753b4b2eb0dc22572615c7/ds_report_background".
2024-08-27 14:35:21 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-27 14:35:21 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.013158s.
2024-08-27 14:35:21 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc-bootcamp/work/mriqc_wf/anatMRIQC/anat_report_wf/51dfa8031b64627a3032c526dfae3be824256991/ds_report_background".
2024-08-27 14:35:21 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-27 14:35:21 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.003446s.
2024-08-27 14:35:22 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc-bootcamp/work/mriqc_wf/anatMRIQC/anat_report_wf/6f020d2391c23943afd6042239b657abcecb3a85/ds_report_background".
2024-08-27 14:35:22 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-27 14:35:22 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.010122s.
2024-08-27 14:35:22 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc-bootcamp/work/mriqc_wf/anatMRIQC/anat_report_wf/f2fd5fce673e2a79ac67a523475ae8daea90b267/ds_report_background".
2024-08-27 14:35:22 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-27 14:35:22 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.003472s.
2024-08-27 14:35:22 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.anatMRIQC.anat_report_wf.ds_report_background" in "/home/oesteban/tmp/mriqc-bootcamp/work/mriqc_wf/anatMRIQC/anat_report_wf/21fa3374246df864c3f4b18a02f2a1913cda6bea/ds_report_background".
2024-08-27 14:35:22 | INFO     | nipype.workflow  | [Node] Executing "ds_report_background" <mriqc.interfaces.DerivativesDataSink>
2024-08-27 14:35:22 | INFO     | nipype.workflow  | [Node] Finished "ds_report_background", elapsed time 0.010361s.
