trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0216908	0.00297
0.0	-0.0097	-0.0362	0.0002181661564992912	-3.490658503988659e-05	-2.792526803190927e-05	0.99431199	73.80339813	0.95319036	0.05994990047855436	0.0198899	0.00126
0.0019	0.0514	-0.0146	0.00038571776469074686	-9.42477796076938e-05	-4.537856055185256e-05	0.9630447	71.48256683	0.9368714	0.09681730476396032	0.0210727	0.00197
-0.0007	-0.1015	-0.0271	4.0142572795869576e-05	4.363323129985824e-05	6.806784082777885e-05	1.15470982	85.70902252	1.02702934	0.19784513020910305	0.0212663	0.00098
0.0025	0.0548	-0.0315	0.0005288347633542819	-9.948376736367679e-05	5.235987755982989e-05	1.14056075	84.65879822	1.01616114	0.1962758576244948	0.0213575	0.00202
-0.0026	-0.0796	-0.0164	0.00016231562043547262	8.028514559173915e-05	0.0001186823891356144	1.08793557	80.75266266	0.99058466	0.18523052837250048	0.021211	0.00108
0.001	0.0106	-0.0364	0.0005270894341022875	3.4906585039886588e-06	0.0001291543646475804	0.98055178	72.78203583	0.94195487	0.1364020138133266	0.0208842	0.00129
0.0	-0.0462	-0.0257	0.0003822271061867582	2.6179938779914945e-05	0.0001186823891356144	0.92674667	68.78832245	0.91148043	0.07740117918517107	0.020543	0.00097
0.0007	-0.014	-0.042	0.0005689773361501514	-1.5707963267948964e-05	7.504915783575618e-05	0.89125192	66.15370178	0.89732874	0.06281356816555576	0.0197594	0.00075
-0.0019	-0.0532	-0.0294	0.0003054326190990077	4.886921905584123e-05	9.773843811168246e-05	0.92827201	68.90154266	0.91540036	0.07194055898254302	0.0204338	0.00088
-0.0039	-0.0675	-0.0619	0.00026878070480712676	0.00017976891295541595	3.490658503988659e-05	0.96214855	71.41604614	0.94034947	0.060319173063162576	0.0199831	0.00079
-0.0008	0.0841	-0.054	0.0006928957130417488	5.235987755982988e-06	-5.235987755982988e-06	1.12084496	83.19538116	1.01815763	0.1945395253114962	0.0213482	0.00231
-0.004	-0.0653	-0.0362	0.00024260076602721178	8.203047484373349e-05	-1.2217304763960308e-05	1.13459527	84.21601105	1.00493712	0.19710353755551324	0.019869	0.00076
-0.0056	0.0265	-0.0394	0.0005305800926062762	-0.00010471975511965978	-9.773843811168246e-05	0.97787362	72.58325195	0.93814086	0.12461253449450899	0.0192221	0.00102
-0.0098	-0.1094	-0.0287	0.00017976891295541595	0.000148352986419518	-0.00015533430342749534	1.10379589	81.92990875	0.99714627	0.18387398932529248	0.0202886	0.00081
-0.0101	0.0274	-0.0384	0.0006370451769779302	0.0001012290966156711	-0.00038048177693476387	1.10079873	81.70744324	0.99358935	0.18327738136668145	0.0190447	0.00101
-0.0117	-0.0213	-0.0311	0.000577703982410123	-6.45771823237902e-05	-0.0004206243497306334	0.90806079	67.40135193	0.90706924	0.0708645023151569	0.017949	0.00054
-0.0133	-0.0404	-0.0455	0.0007400196028455958	-0.00017802358370342162	-0.0005061454830783556	0.88800651	65.91281128	0.89475052	0.05316415775814131	0.0169546	0.00034
-0.0165	-0.0892	-0.0502	0.0006946410422937432	-0.00030368728984701333	-0.0005427973973702365	0.89949971	66.76589966	0.90058895	0.06708470904936627	0.016967	0.00027
-0.0205	-0.0196	-0.0581	0.0011484266478122688	-0.00042411500823462205	-0.0006073745796940267	0.92722148	68.82356262	0.91056728	0.1134395253114962	0.0162423	0.0002
-0.0262	-0.0766	-0.0545	0.0012583823906879114	-0.0005113814708343385	-0.0005585053606381855	0.89780331	66.63998413	0.89385139	0.07860457122656003	0.0164663	0.00018
-0.0282	-0.0372	-0.0636	0.0016283921921107093	-0.0006230825429619757	-0.0005672320068981572	0.87643069	65.05358887	0.88390216	0.07502187599052033	0.0161602	9e-05
-0.0319	-0.0849	-0.0515	0.0013159782560037243	-0.0006283185307179585	-0.0005358160803622592	0.87786311	65.15991211	0.88548115	0.08095329251994329	0.0161874	0.0001
-0.0315	-0.0092	-0.061	0.0014695672301792255	-0.0006841690667817771	-0.0006318091892219474	0.93396735	69.32427979	0.90952779	0.1008716309549504	0.0156649	0.00016
-0.0337	-0.0679	-0.0606	0.0011833332328521555	-0.0006876597252857658	-0.000582939970166106	0.89801651	66.6558075	0.89659274	0.07822969374434499	0.0152051	9e-05
-0.0348	-0.0058	-0.0706	0.001361356816555577	-0.0008115781021773631	-0.0006754424205218055	0.92222655	68.45281219	0.90338106	0.09292222054753592	0.015128	9e-05
-0.0417	-0.0712	-0.0669	0.0010629055144645468	-0.0007941248096574199	-0.0007766715171374765	0.93867201	69.6734848	0.9140133	0.09685668456133224	0.0143688	8e-05
-0.043	-0.0148	-0.06	0.0010716321607245184	-0.0008639379797371932	-0.0008499753457212384	0.98161972	72.86130524	0.93344726	0.07219218224617532	0.0146992	0.0001
-0.0451	-0.032	-0.0824	0.0010960667702524388	-0.0008133234314293575	-0.00091106186954104	0.98110867	72.82337189	0.93617318	0.048506784082777886	0.0141575	0.00013
-0.0508	-0.0635	-0.0495	0.000640535835481919	-0.0010524335389525807	-0.0009128071987930344	1.06990159	79.41407776	0.98074134	0.10491931857728684	0.0148975	0.00023
-0.0576	-0.0443	-0.1026	0.0013020156219877698	-0.0008464846872172499	-0.0009250245035569946	1.12331784	83.37893677	1.00060597	0.12308229715025708	0.0146025	0.00012
-0.0539	0.0793	-0.0742	0.001553343034274953	-0.0011030480872604163	-0.0009948376736367678	1.16710961	86.62940216	1.04085629	0.18458519912050608	0.0160695	0.00031
-0.059	-0.0519	-0.0826	0.001673770752662562	-0.000926769832808989	-0.0010000736613927507	1.19289684	88.54347229	1.02938387	0.15979709802975095	0.0145036	0.00011
-0.0606	0.0063	-0.0459	0.0018500490071139892	-0.0010559241974565693	-0.0010088003076527223	1.09997439	81.64625549	0.99308068	0.11220796326794896	0.0151393	0.0001
-0.0636	-0.0732	-0.079	0.0022759093446006054	-0.000905825881785057	-0.0009634217471008699	1.12620425	83.5931778	0.99798872	0.14666686068549903	0.0152749	9e-05
-0.0588	-0.0462	-0.0722	0.0024678955623199817	-0.0010035643198967395	-0.0008133234314293575	0.97014749	72.00977325	0.92735886	0.06059114857512856	0.0158072	8e-05
-0.0588	-0.0768	-0.1087	0.0029373891311064567	-0.0008621926504851988	-0.000726056968829641	1.01794672	75.55770111	0.95280498	0.1020065850398866	0.0171964	0.0001
-0.0611	-0.0778	-0.098	0.003223623128433527	-0.0010384709049366262	-0.0008569566627292158	0.95842069	71.13934326	0.93003169	0.043670597283903614	0.0174794	0.00012
-0.0652	-0.0405	-0.1404	0.003960152072775134	-0.0011780972450961724	-0.0010140362954087054	0.98945308	73.44274139	0.94284348	0.1354617458590321	0.0187009	0.00011
-0.067	-0.0483	-0.0992	0.0036215581978882336	-0.0012060225131280816	-0.0010995574287564276	0.95567381	70.93545532	0.92757465	0.07340201381332659	0.0172884	0.00011
