bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-11_task-mixed_bold	0.002886822742474916	0.01111283899665552	1	73.56993736657721	1.129988066610738	1.0386762837248322	0.4254	2527.9392	0.12815155303142714	16	5.351170568561873	3.247590531496614	3.0694429094151587	3.4352857727882826	3.2380429122863994	0.00487011	0.03365674987435341	0.009650814346969128	299	160	160	96	1.1274339558135378	1.5	1.399999976158142	1.399999976158142	1.399999976158142	149.6995	9.1634	31.8128	8.0	1893191.0	1.0	121.0	101.4729	7.2384	213.0683	457.8272	379.0	564409.0	68.0	1105.0	336.1613	18.996357578784227
sub-11_task-rest_bold	0.00043489285714285716	0.016603885785714288	0	73.45309154286733	1.020608363333333	0.9562624688530463	0.4248	2578.647	0.13571278353767863	28	10.0	3.2983167228366654	3.0997500527884285	3.4877072022524427	3.3074929134691256	0.00427818	0.03353813663125038	0.008436963893473148	280	160	160	96	1.1283345128208382	1.5	1.399999976158142	1.399999976158142	1.399999976158142	149.8002	8.0325	31.6656	7.0	1892746.0	1.0	119.0	102.1875	7.1569	214.8555	457.4614	379.0	564854.0	68.0	1104.0	335.893	17.130890367552638
sub-14_task-mixed_bold	0.0006768333333333333	0.016889173033333333	0	79.06476592993309	1.0651954700000006	0.9748651732441478	0.408	3528.9802	0.13951645916296965	52	17.333333333333332	3.1084476719841674	3.019321479990167	3.285835770243164	3.0201857657191713	0.00249319	-0.007436224725097418	0.04279729723930359	300	160	160	96	1.2734444508184735	1.5	1.399999976158142	1.399999976158142	1.399999976158142	443.318	6.5482	18.5794	6.0	1923205.0	1.0	65.0	64.895	8.9149	174.9817	390.4818	342.0	534395.0	60.0	865.0	268.5627	17.10148320486769
sub-14_task-rest_bold	0.007791500000000001	0.05324136392857143	0	78.00405700594983	1.015471491362008	0.9885133291039419	0.412	4994.4189	0.15211736623488092	61	21.785714285714285	3.4019238674582275	3.153771482279837	3.516514345600168	3.535485774494678	0.0029382	-0.006069008260965347	0.04316888749599457	280	160	160	96	1.301259014064542	1.5	1.399999976158142	1.399999976158142	1.399999976158142	351.7821	5.7504	20.0169	5.0	1920822.0	1.0	71.0	71.355	8.7881	173.4168	403.2434	352.0	536778.0	70.0	884.0	270.507	11.654227269231342
sub-15_task-mixed_bold	0.0009773	0.016070665066666667	0	86.25943909157193	1.106918599498327	0.9881115732775922	0.3932	7123.5718	0.17338299218068678	94	31.333333333333332	2.914828621067807	2.810364333574505	3.0866143382790145	2.8475071913499015	0.00548213	0.01589627005159855	0.025394044816493988	300	160	160	96	1.3426369146404369	1.5	1.399999976158142	1.399999976158142	1.399999976158142	116.1319	4.6405	14.4385	4.0	1977909.0	1.0	57.0	39.1759	6.117	169.2193	355.7051	315.0	479691.0	44.0	779.0	234.6127	17.374818962998688
sub-15_task-rest_bold	0.004184301075268817	0.04711214551971327	1	105.84428175237416	1.1071872001079142	0.9786074577338127	0.3956	7574.6143	0.24754332070415094	160	57.34767025089606	3.1559762442221455	2.957021478929204	3.30251434195577	3.2083929117814627	0.00210171	0.013085201382637024	0.029340656474232674	279	160	160	96	1.3839188629737138	1.5	1.399999976158142	1.399999976158142	1.399999976158142	174.8538	4.6232	14.7217	4.0	1982979.0	1.0	58.0	39.7484	5.513	167.9167	360.3137	319.0	474621.0	50.0	780.0	230.5046	11.603872109670192
sub-16_task-mixed_bold	0.0008624	0.018041348199999998	0	79.08761530314382	1.065640330367893	0.9850941242809362	0.3912	8889.6836	0.16861183413667502	76	25.333333333333332	2.8977071922048023	2.8060357620722187	3.070757195151826	2.816328619390362	0.00391163	-0.0038001544307917356	0.028538746759295464	300	160	160	96	1.4914720431411232	1.5	1.399999976158142	1.399999976158142	1.399999976158142	131.6502	3.41	12.3243	3.0	1996355.0	0.0	47.0	34.9137	4.0293	159.8542	334.9623	302.0	461245.0	46.0	699.0	202.4843	16.93233297765255
sub-16_task-rest_bold	0.0017317142857142859	0.043591532142857145	0	78.10054680577065	0.9677003425806453	0.9302413099641581	0.3937	7972.126	0.17238513048922854	98	35.0	3.062631004537247	2.9107071924261905	3.2304214835851788	3.046764337600373	0.00205064	-0.0032650232315063477	0.02602740190923214	280	160	160	96	1.5510153619243345	1.5	1.399999976158142	1.399999976158142	1.399999976158142	138.7578	3.3729	12.3109	3.0	1999992.0	1.0	45.0	33.8891	3.7923	157.1294	337.3125	306.0	457608.0	53.0	692.0	197.2899	12.904996757861227
sub-17_task-mixed_bold	0.0010371333333333331	0.017973773466666666	0	82.96198115759194	1.1034547665886285	0.9993216047491646	0.3991	6484.833	0.1992415408142653	139	46.333333333333336	2.8999333827189044	2.766814332832853	3.0906357669189273	2.842350048404933	0.00790804	0.026043420657515526	0.024222755804657936	300	160	160	96	1.3875407836229408	1.5	1.399999976158142	1.399999976158142	1.399999976158142	97.9633	4.6801	16.3243	4.0	1976419.0	0.0	59.0	48.172	5.2989	178.9995	371.6636	330.0	481181.0	51.0	798.0	237.8306	16.372321892995387
sub-17_task-rest_bold	0.00135625	0.01781052175	0	87.77175156781364	1.0914939209677412	0.9992411350179218	0.4017	2741.4277	0.2056565278613937	148	52.857142857142854	2.9908595747435585	2.879564334752974	3.206107197456823	2.886907192020879	0.00535835	0.025328632444143295	0.03789663314819336	280	160	160	96	1.296199877117022	1.5	1.399999976158142	1.399999976158142	1.399999976158142	118.7095	6.7882	17.305	6.0	1979267.0	1.0	60.0	46.5086	5.3321	186.3684	343.5628	303.0	478333.0	46.0	764.0	233.76	15.208977497415617
