trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0768026	0.01045
-0.0006	0.0205	-0.0288	0.0002844886680750757	-0.00013439035240356338	0.00017976891295541595	0.82346201	66.45944977	0.85723071	0.07983239667170275	0.0788558	0.00923
0.002	0.0205	0.0044	0.0004433136300065597	-0.0003193952531149623	0.00020594885173533088	0.82165742	66.31380463	0.8572718	0.0543004900711399	0.0748588	0.00807
0.0012	-0.077	-0.0218	0.0002722713633111154	-4.537856055185256e-05	0.000322885911618951	0.94904822	76.59518433	0.93113097	0.1525998009571087	0.0760184	0.00813
0.0069	0.0491	-0.0323	0.000614355896702004	-0.00015707963267948963	0.0003089232776029963	0.93121457	75.15587616	0.91798634	0.165687411976724	0.0789934	0.00863
0.0034	-0.0473	-0.0077	0.0005131268000863328	-9.948376736367679e-05	0.0002007128639793479	0.91248316	73.64411163	0.90423769	0.1378517687777566	0.0731387	0.00698
0.003	-0.0235	-0.0503	0.0006387905062299246	5.759586531581287e-05	0.00028274333882308137	0.84255141	68.00010681	0.87335712	0.08503869068334073	0.0768955	0.00754
0.0037	0.0621	-0.0277	0.0004956735075663896	-0.00021118483949131387	-2.792526803190927e-05	0.87183255	70.36331177	0.89361746	0.14502831551628265	0.0784736	0.01003
0.0004	-0.0891	-0.0303	0.00038571776469074686	0.00014660765716752367	0.00015707963267948963	1.02713704	82.8975296	0.97332114	0.18973765701229395	0.0742217	0.00785
0.0009	0.0723	-0.0576	0.0010559241974565693	-0.00016231562043547262	0.0001832595714594046	1.02760851	82.93557739	0.96928332	0.23946548245743668	0.07944	0.00859
-0.0052	-0.0624	-0.0381	0.0010175269539126942	-3.316125578789226e-05	8.028514559173915e-05	0.97385842	78.59754944	0.93667065	0.173826301702956	0.0732272	0.00597
-0.0007	0.0424	-0.0892	0.0014800392056911916	-0.0001658062789394613	0.00015184364492350666	0.93873465	75.76280212	0.92054805	0.1937357887130917	0.0815452	0.00807
-0.0019	-0.0005	-0.0552	0.001256637061435917	-0.00012740903539558605	-9.599310885968811e-05	0.83459651	67.35808563	0.86981395	0.10358180707911724	0.0757372	0.0067
-0.0072	-0.0451	-0.0669	0.0013037609512397642	-7.504915783575618e-05	8.552113334772214e-05	0.82231504	66.36688232	0.86265276	0.07564990047855438	0.0748926	0.00602
-0.0026	0.0497	-0.0713	0.0016999506914424768	-0.0003385938748868999	8.37758040957278e-05	0.84515387	68.21014404	0.87307158	0.13687398932529252	0.0769152	0.0066
-0.0053	-0.1019	-0.0814	0.001308996938995747	5.061454830783555e-05	0.0001675516081914556	0.97550887	78.73075104	0.9427844	0.20759689898685965	0.0756788	0.00638
0.0273	-0.0201	-0.1701	0.001965240737745615	0.00017627825445142725	0.0006946410422937432	1.24852037	100.7647934	1.19621129	0.26854984694978734	0.0950962	0.02146
0.0668	0.1023	-0.1396	0.0034662238944607386	0.001614429558094755	0.0012077678423800758	1.46564269	118.28816223	1.34078839	0.3650130630222392	0.0873163	0.01174
0.047	0.0275	-0.1419	0.004342379178961892	0.000879645943005142	0.0006824237375297829	1.0884521	87.84610748	1.04676457	0.20371415022205291	0.076803	0.00509
0.0433	-0.0866	-0.08	0.0038170350741115982	0.0014974924982111347	0.00020594885173533088	1.0121001	81.68392944	0.96408502	0.2606832772925369	0.0680164	0.00344
0.0319	0.0841	-0.1375	0.004262094033370152	0.0009826203688728075	0.00034033920413889426	1.13158345	91.32712555	1.02118025	0.29431607205002225	0.0781196	0.00577
0.0269	-0.0274	-0.1126	0.0037629298672997745	0.0005480333851262194	0.00045902159327450867	0.98106384	79.17907715	0.93999731	0.194021676947629	0.0704831	0.00398
0.0252	-0.0124	-0.1416	0.0038030724400956446	0.0005253441048502931	0.0005724679946541401	0.87871563	70.91882324	0.89401108	0.05451391272257138	0.073939	0.0048
0.0185	0.0474	-0.1072	0.003593632929856324	0.00019198621771937622	0.00030194196059501896	0.86492372	69.80571747	0.88837243	0.14156617157146792	0.0727645	0.00456
0.0147	-0.0922	-0.1086	0.0032306044454415038	0.0003577924966588376	0.00040317105721069014	0.97490203	78.68177795	0.93909903	0.1763031929984976	0.0692983	0.0038
0.0316	0.077	-0.1406	0.0038152897448596045	0.00019547687622336493	0.0005707226654021458	1.04524362	84.3588562	0.97252841	0.26382762640225144	0.0775278	0.00565
0.0173	-0.0929	-0.1104	0.003077015471266003	0.00029496064358704166	0.0002652900463031381	1.05824685	85.40831757	0.98033551	0.2715595330028143	0.0703087	0.00417
0.0105	0.0552	-0.1286	0.0031956978604016175	6.806784082777885e-05	0.00010821041362364843	1.02304459	82.56723785	0.96070916	0.19823274122871837	0.0770308	0.00577
-0.0017	-0.0746	-0.0918	0.0032044245066615894	-0.00013962634015954637	0.00010821041362364843	1.0081228	81.36293793	0.95458331	0.1896210413623648	0.0677624	0.00332
-0.0023	-0.005	-0.1427	0.003555235686312449	-0.00017976891295541595	0.00035430183815484887	0.89538115	72.26385498	0.89458168	0.15295225884889646	0.075142	0.00477
0.0035	0.0287	-0.1042	0.0037419859162758423	-0.0003001966313430247	0.00039968039870670147	0.85415363	68.93649292	0.87748778	0.09562782544514271	0.0712125	0.00361
-0.0053	-0.0744	-0.1139	0.0035360370645405115	-0.000158824961931484	0.00038397243543875244	0.91227859	73.62760162	0.9032472	0.13975142422074102	0.0698679	0.00356
0.0032	0.0727	-0.129	0.0035918876006043304	-0.0002600540585471551	0.00023911010752322313	0.98225528	79.27523804	0.93939905	0.18579709802975097	0.0773665	0.00535
-0.0017	-0.0981	-0.1206	0.003375466773357033	-8.203047484373349e-05	0.0003647738136668148	1.05307376	84.99081421	0.97433519	0.21010540585471552	0.0707301	0.00397
-0.0084	0.0695	-0.1439	0.0038432150128915135	-0.00045553093477052	0.00023212879051524583	0.99866879	80.59992981	0.94579369	0.24629468613064184	0.0777714	0.00563
-0.011	-0.0905	-0.0986	0.0033143802495372316	-0.0002617993877991494	0.0002530727415391778	1.05197585	84.90219879	0.97382247	0.2450755130674792	0.0676696	0.00322
-0.0125	0.0124	-0.1291	0.003661700770684103	-0.00034208453339088857	0.00027925268031909274	0.90572006	73.09828186	0.89852444	0.15758928027592625	0.0732488	0.00436
-0.0087	-0.0059	-0.1034	0.0035901422713523357	-0.00046425758103049166	0.00030194196059501896	0.82957101	66.95249176	0.86515189	0.05862104136236481	0.0698457	0.00358
-0.0087	-0.0905	-0.1251	0.0035674529910764093	-0.00038048177693476387	0.0005567600313861911	0.90311754	72.888237	0.90661072	0.12436415775814127	0.0700167	0.00373
-0.0057	0.0587	-0.123	0.004146902302738527	-0.000804596785169386	0.00045553093477052	0.98958081	79.86646271	0.94188958	0.20953967082562047	0.0735539	0.00416
